,place,date,min_msavi,max_msavi,mean_msavi,stDev_msavi,cloudcover
0,1,2020-02-02,0.6649463772773743,0.7437909841537476,0.7124017163326866,0.019245746103877925,0.3671223678086934
2,1,2020-02-12,0.6057090163230896,0.6600361466407776,0.6361966587995229,0.0134713195137133,0.3952328931344182
6,1,2020-03-03,0.5924547910690308,0.6341835260391235,0.6054910688023819,0.010151709647936066,0.3751263147906252
7,1,2020-03-08,0.5654383301734924,0.6604479551315308,0.5886431179548562,0.024811673385288658,0.32884341870483597
11,1,2020-03-28,0.5438543558120728,0.6047250628471375,0.5615191930218748,0.015624980972097665,0.3619736833007712
14,1,2020-04-22,0.5611498355865479,0.5972970724105835,0.5789960607102042,0.009226566137294492,0.36763815817080053
17,1,2020-05-07,0.6809135675430298,0.8842126727104187,0.7907484612966837,0.06589756530175357,0.38902499801234197
18,1,2020-05-12,0.6609899401664734,0.9325801134109497,0.8277624108289416,0.08098523493927118,0.3188684221945311
19,1,2020-05-22,0.6818369030952454,0.9109893441200256,0.8242867541940587,0.07027475496795094,0.3659157894159618
21,1,2020-06-01,0.6515354514122009,0.8558710217475891,0.786849856376648,0.05723528075600155,0.3280513153264398
25,1,2020-06-21,0.5167562365531921,0.5287308692932129,0.5240409531091388,0.0034483181722509784,0.24014605346478915
27,2,2020-02-02,0.9076368808746338,0.9760859608650208,0.9466495911280315,0.014723442654252487,0.22917222243452823
28,2,2020-02-07,0.9045870900154114,0.9605334401130676,0.9387296665282476,0.0138290833003789,0.22931111166401522
31,2,2020-03-03,0.7557545900344849,0.8116354942321777,0.7897014655764142,0.013450631808571333,0.26501111142219064
33,2,2020-03-18,0.5925091505050659,0.6324268579483032,0.6133767990838916,0.00794721412736513,0.3217555549409655
34,2,2020-03-23,0.575124979019165,0.5972608327865601,0.5841417199089413,0.005836588313885575,0.3832000006758977
49,3,2020-02-03,0.9007970094680786,0.9478235244750977,0.9232994218667347,0.012521688812054538,0.31371666278157917
51,3,2020-02-13,1.0343855619430542,1.099096417427063,1.0722768902778625,0.013704682247417659,0.2191333341456595
52,3,2020-02-18,1.0909370183944702,1.164002537727356,1.126835950783321,0.017242152412106304,0.18480833371480304
53,3,2020-02-23,1.0347316265106201,1.0918031930923462,1.0600801677930922,0.015360834110718194,0.2128916670169149
54,3,2020-02-28,0.9731103777885437,1.0258970260620117,0.9972738609427497,0.012715642169180627,0.26396666963895166
55,3,2020-03-04,0.8205640316009521,0.9191281795501709,0.8953113598482949,0.017518897631181297,0.3379999995231629
56,3,2020-03-19,0.9204854369163513,0.949931263923645,0.934797831944057,0.007420675619188846,0.3134250002247946
57,3,2020-03-24,0.8896373510360718,0.9972401857376099,0.969210005941845,0.017035694411169727,0.2718166680563062
58,3,2020-03-29,0.9296965003013611,0.9615594148635864,0.9467920831271579,0.008191136476188807,0.29489166821752266
59,3,2020-04-03,0.8289928436279297,0.8520646095275879,0.8405957988330296,0.0062006180205032855,0.39362500111262005
60,3,2020-04-08,0.9260041117668152,0.9557744264602661,0.9421404075054896,0.006849362466640174,0.2927166663465045
62,3,2020-04-18,0.8143126368522644,0.8603999018669128,0.8460929024787176,0.008411101059743244,0.36202499980018266
63,3,2020-04-23,0.9018791317939758,0.9305621981620789,0.9184258679548899,0.006683934694005755,0.31819166597865883
64,3,2020-04-28,0.8158568143844604,0.880505383014679,0.866216785850979,0.01067573971812944,0.3756916693278721
66,3,2020-05-08,0.8204311728477478,0.8659509420394897,0.8428443443207514,0.011849885597946792,0.3697000003996349
